source,reporter,partner,period,cmdCode,cmdDesc,flowCode,qty_kg,netWgt_kg,value_usd,qtyUnitCode
Guatemala_Export,Guatemala,Bahrain,2014,0908,"Nutmeg, mace and cardamoms",X,88928.0,88928.0,536240.0,8
Guatemala_Export,Guatemala,Bangladesh,2016,0908,"Nutmeg, mace and cardamoms",X,2823879.0,2823879.0,16124385.0,8
Guatemala_Export,Guatemala,Bangladesh,2018,0908,"Nutmeg, mace and cardamoms",X,3511744.0,3511744.0,37444107.0,8
Guatemala_Export,Guatemala,Bangladesh,2023,0908,"Nutmeg, mace and cardamoms",X,3225483.0,3225483.0,18599251.0,8
Guatemala_Export,Guatemala,Bangladesh,2024,0908,"Nutmeg, mace and cardamoms",X,1561390.0,1561390.0,24839010.0,8
Guatemala_Export,Guatemala,Bangladesh,2022,0908,"Nutmeg, mace and cardamoms",X,3518416.0,3518416.0,27104868.0,8
Guatemala_Export,Guatemala,Bangladesh,2015,0908,"Nutmeg, mace and cardamoms",X,1935592.0,1935592.0,12195635.0,8
Guatemala_Export,Guatemala,Bangladesh,2021,0908,"Nutmeg, mace and cardamoms",X,1988439.0,1988439.0,31128546.0,8
Guatemala_Export,Guatemala,Bangladesh,2020,0908,"Nutmeg, mace and cardamoms",X,7345300.0,7345300.0,94908461.0,8
Guatemala_Export,Guatemala,Bangladesh,2017,0908,"Nutmeg, mace and cardamoms",X,3270981.0,3270981.0,30433743.0,8
Guatemala_Export,Guatemala,Bangladesh,2014,0908,"Nutmeg, mace and cardamoms",X,1951342.0,1951342.0,11218836.0,8
Guatemala_Export,Guatemala,Bangladesh,2019,0908,"Nutmeg, mace and cardamoms",X,2866025.0,2866025.0,50013039.0,8
Guatemala_Export,Guatemala,Barbados,2020,0908,"Nutmeg, mace and cardamoms",X,450.0,450.0,11382.0,8
Guatemala_Export,Guatemala,Barbados,2015,0908,"Nutmeg, mace and cardamoms",X,430.0,430.0,650.0,8
Guatemala_Export,Guatemala,Barbados,2017,0908,"Nutmeg, mace and cardamoms",X,427.0,427.0,5055.0,8
Guatemala_Export,Guatemala,Barbados,2019,0908,"Nutmeg, mace and cardamoms",X,342.0,342.0,2654.0,8
Guatemala_Export,Guatemala,Belgium,2018,0908,"Nutmeg, mace and cardamoms",X,31000.0,31000.0,368467.0,8
Guatemala_Export,Guatemala,Belgium,2016,0908,"Nutmeg, mace and cardamoms",X,5090.0,5090.0,60626.0,8
Guatemala_Export,Guatemala,Belgium,2021,0908,"Nutmeg, mace and cardamoms",X,10750.0,10750.0,97748.0,8
Guatemala_Export,Guatemala,Belgium,2022,0908,"Nutmeg, mace and cardamoms",X,2246.0,2246.0,31949.0,8
Guatemala_Export,Guatemala,Brazil,2016,0908,"Nutmeg, mace and cardamoms",X,14076.0,14076.0,56000.0,8
Guatemala_Export,Guatemala,Brazil,2023,0908,"Nutmeg, mace and cardamoms",X,50.0,50.0,650.0,8
Guatemala_Export,Guatemala,Brazil,2020,0908,"Nutmeg, mace and cardamoms",X,5489.0,5489.0,124090.0,8
Guatemala_Export,Guatemala,Brazil,2021,0908,"Nutmeg, mace and cardamoms",X,8546.0,8546.0,93990.0,8
Guatemala_Export,Guatemala,Brazil,2017,0908,"Nutmeg, mace and cardamoms",X,17632.0,17632.0,119451.0,8
Guatemala_Export,Guatemala,Brazil,2014,0908,"Nutmeg, mace and cardamoms",X,20829.0,20829.0,63255.0,8
Guatemala_Export,Guatemala,Brazil,2019,0908,"Nutmeg, mace and cardamoms",X,14391.0,14391.0,46750.0,8
Guatemala_Export,Guatemala,Belize,2021,0908,"Nutmeg, mace and cardamoms",X,2.0,2.0,31.0,8
Guatemala_Export,Guatemala,Br. Virgin Isds,2017,0908,"Nutmeg, mace and cardamoms",X,34912.0,34912.0,197000.0,8
Guatemala_Export,Guatemala,Br. Virgin Isds,2019,0908,"Nutmeg, mace and cardamoms",X,56308.0,56308.0,700000.0,8
Guatemala_Export,Guatemala,Bulgaria,2021,0908,"Nutmeg, mace and cardamoms",X,725.0,725.0,19900.0,8
Guatemala_Export,Guatemala,Bulgaria,2015,0908,"Nutmeg, mace and cardamoms",X,10850.0,10850.0,72075.0,8
Guatemala_Export,Guatemala,Myanmar,2019,0908,"Nutmeg, mace and cardamoms",X,45512.0,45512.0,631454.0,8
Guatemala_Export,Guatemala,Myanmar,2017,0908,"Nutmeg, mace and cardamoms",X,98038.0,98038.0,792301.0,8
Guatemala_Export,Guatemala,Myanmar,2014,0908,"Nutmeg, mace and cardamoms",X,175303.0,175303.0,711471.0,8
Guatemala_Export,Guatemala,Myanmar,2022,0908,"Nutmeg, mace and cardamoms",X,82566.0,82566.0,538500.0,8
Guatemala_Export,Guatemala,Myanmar,2015,0908,"Nutmeg, mace and cardamoms",X,98667.0,98667.0,668651.0,8
Guatemala_Export,Guatemala,Myanmar,2024,0908,"Nutmeg, mace and cardamoms",X,47904.0,47904.0,768000.0,8
Guatemala_Export,Guatemala,Myanmar,2021,0908,"Nutmeg, mace and cardamoms",X,89820.0,89820.0,1404495.0,8
Guatemala_Export,Guatemala,Myanmar,2020,0908,"Nutmeg, mace and cardamoms",X,53768.0,53768.0,1342070.0,8
Guatemala_Export,Guatemala,Myanmar,2018,0908,"Nutmeg, mace and cardamoms",X,35200.0,35200.0,477000.0,8
Guatemala_Export,Guatemala,Myanmar,2016,0908,"Nutmeg, mace and cardamoms",X,192252.0,192252.0,836759.0,8
Guatemala_Export,Guatemala,Myanmar,2023,0908,"Nutmeg, mace and cardamoms",X,16312.0,16312.0,112650.0,8
Guatemala_Export,Guatemala,Canada,2019,0908,"Nutmeg, mace and cardamoms",X,188798.0,188798.0,3392281.0,8
Guatemala_Export,Guatemala,Canada,2017,0908,"Nutmeg, mace and cardamoms",X,127153.0,127153.0,1608205.0,8
Guatemala_Export,Guatemala,Canada,2014,0908,"Nutmeg, mace and cardamoms",X,81735.0,81735.0,575924.0,8
Guatemala_Export,Guatemala,Canada,2015,0908,"Nutmeg, mace and cardamoms",X,64073.0,64073.0,597500.0,8
Guatemala_Export,Guatemala,Canada,2024,0908,"Nutmeg, mace and cardamoms",X,95339.0,95339.0,2083904.0,8
Guatemala_Export,Guatemala,Canada,2021,0908,"Nutmeg, mace and cardamoms",X,135190.0,135190.0,2775703.0,8
Guatemala_Export,Guatemala,Canada,2022,0908,"Nutmeg, mace and cardamoms",X,235133.0,235133.0,3030561.0,8
Guatemala_Export,Guatemala,Canada,2020,0908,"Nutmeg, mace and cardamoms",X,162650.0,162650.0,4293528.0,8
Guatemala_Export,Guatemala,Canada,2018,0908,"Nutmeg, mace and cardamoms",X,157569.0,157569.0,2194281.0,8
Guatemala_Export,Guatemala,Canada,2016,0908,"Nutmeg, mace and cardamoms",X,102660.0,102660.0,858065.0,8
Guatemala_Export,Guatemala,Canada,2023,0908,"Nutmeg, mace and cardamoms",X,158273.0,158273.0,1530754.0,8
Guatemala_Export,Guatemala,Sri Lanka,2014,0908,"Nutmeg, mace and cardamoms",X,9249.0,9249.0,13350.0,8
Guatemala_Export,Guatemala,Sri Lanka,2015,0908,"Nutmeg, mace and cardamoms",X,10000.0,10000.0,12950.0,8
Guatemala_Export,Guatemala,Chile,2014,0908,"Nutmeg, mace and cardamoms",X,242.0,242.0,3200.0,8
Guatemala_Export,Guatemala,Chile,2016,0908,"Nutmeg, mace and cardamoms",X,248.0,248.0,3651.0,8
Guatemala_Export,Guatemala,Chile,2021,0908,"Nutmeg, mace and cardamoms",X,443.0,443.0,9576.0,8
